school_id,school_name,IDDIST,num_test_takers,test_coverage,average_score,zone
207795,5040 PEDRO RUIZ,070101,38,90.47619,624.540697,Port
207845,5031 CESAR VALLEJO,070101,53,94.642857,581.662211,Port
207852,5032 ENRIQUE DEL HORME,070101,52,96.296296,590.868747,Port
207894,5019 - AUGUSTO CAZORLA,070101,68,100.0,564.494987,Port
207985,5023 ABELARDO GAMARRA,070101,77,98.717949,636.268876,Port
207993,5024,070101,91,96.808511,672.08237,Port
208025,REPUBLICA DE VENEZUELA,070101,49,96.078431,618.832045,Port
208330,4010 HERMANOS RAFAEL SAMUEL Y EMILIO MOISES GOMEZ PAQUIYAURI,070101,94,97.916667,706.544162,Port
208348,4011 LA TABOADA DE LAS FRESAS,070101,26,96.296296,636.798901,Port
208389,4016 NESTOR GAMBETA BONATTI,070101,140,95.890411,644.956065,Port
208405,4018 ABRAHAM VALDELOMAR,070101,38,92.682927,622.228753,Port
208413,5001 LUISA DE SABOGAL,070101,37,97.368421,610.961414,Port
208462,5003 - VIRGEN DE LA I. CONCEPCION,070101,48,85.714286,508.491283,Port
208496,5005 GENMO DON JOSE DE SAN MARTIN,070101,134,95.714286,585.213934,Port
208520,5006 ALBERTO SECADA,070101,51,85.0,571.946227,Port
208538,5007 NUESTRA SEÑORA DE GUADALUPE,070101,25,75.757576,518.710583,Port
208561,4006 SANTA ROSA DE AMERICA,070101,62,96.875,602.700401,Port
208579,4007 VIRGEN DEL PILAR,070101,43,89.583333,701.56542,Port
208587,4008 NUESTRA SEÑORA DE FATIMA,070101,21,87.5,582.738075,Port
208736,4001 DOS DE MAYO,070101,28,96.551724,598.652068,Port
208751,4003 SANTA MARIA MAZZARELLO,070101,30,100.0,830.150564,Port
215590,5042 - JUAN FRANCISCO DE LA BODEGA Y CUADRA,070101,98,89.908257,664.904445,Port
215657,5046 - JOSE GALVEZ EGUSQUIZA,070101,75,97.402597,619.808634,Port
215665,5045 MARIA REICHE,070101,11,78.571429,629.662391,Port
215707,5048 MARISCAL RAMON CASTILLA,070101,74,90.243902,618.177042,Port
215723,5049 EMMA DETTMANN DE GUTIERREZ,070101,38,97.435897,654.07694,Port
215863,5036 RAFAEL BELAUNDE DIEZ CANSECO,070101,36,100.0,701.9308,Port
215897,5037 ALMIRANTE MIGUEL GRAU,070101,81,93.103448,613.910544,Port
215921,5039 DIVINA PASTORA,070101,21,91.304348,584.285908,Port
488825,JUAN INGUNZA VALDIVIA,070101,118,97.520661,697.437317,Port
514224,5010,070101,58,89.230769,651.843585,Port
524462,5076 NSTRA. SRA.DE LAS MERCEDES,070101,184,97.354497,636.371079,Port
526301,5075 INCA GARCILASO DE LA VEGA,070101,56,91.803279,734.89433,Port
526400,5074 ALCIDES SPELUCIN VEGA,070101,115,90.551181,674.303329,Port
528794,2093 SANTA ROSA,070101,30,93.75,740.599002,Port
541995,5033 - LAS 200 MILLAS,070101,91,98.913043,647.176531,Port
555987,5026 JOSE MARIA ARGUEDAS,070101,83,96.511628,681.660102,Port
649277,3090 FRANCO PERUANO,070101,79,95.180723,694.359297,Port
656843,5078 JOSE A.QUIÑONES GONZALES,070101,23,85.185185,657.885831,Port
659672,5079 JORGE CHAVEZ DARTNELL,070101,70,97.222222,610.176382,Port
659698,5082 SARITA COLONIA,070101,57,96.610169,681.905908,Port
659706,5083 SAN MARTIN DE PORRES,070101,129,93.478261,642.742442,Port
659714,5080 SOR ANA DE LOS ANGELES,070101,198,93.838863,691.791846,Port
659938,5084 - CARLOS PHILLIPS,070101,146,93.589744,752.457875,Port
728634,5085 RAMIRO PRIALE PRIALE,070101,41,97.619048,611.267255,Port
780734,5089 VIRGEN MARIA,070101,76,95.0,659.040114,Port
781773,5092 SANTA ROSA DE LIMA,070101,40,97.560976,666.304448,Port
781864,5095 JULIO RAMON RIBEYRO,070101,97,98.979592,692.961972,Port
782615,5097 SAN JUAN MACIAS,070101,99,97.058824,677.606485,Port
1084987,SAN VICENTE,070101,27,100.0,567.300035,Port
1085539,AGUSTIN DE HIPONA,070101,34,100.0,675.810547,Port
1222553,JUAN LINARES ROJAS,070101,67,62.037037,686.00891,Port
1273317,SAN MIGUEL,070101,30,100.0,775.491609,Port
1381342,5136 FERNANDO BELAUNDE TERRY,070101,17,89.473684,584.968864,Port
1383181,5139 LAS COLINAS,070101,59,95.16129,707.686539,Port
1670579,MONSEÑOR RICARDO DURAND,070101,24,100.0,695.822442,Port
207803,5041,070103,32,74.418605,672.498894,Port
208116,5030 TNTE. CRNEL. LEOPOLDO PEREZ SALMON,070103,105,98.130841,746.748714,Port
208371,4015 AUGUSTO SALAZAR BONDY,070103,67,95.714286,641.840367,Port
215616,5043 SAN MARTIN DE PORRES,070103,69,94.520548,657.916981,Port
215632,5044 - BANDERA DE LA PAZ,070103,112,94.117647,675.926892,Port
215848,5035,070103,36,81.818182,639.049997,Port
207951,5022 FRANCISCO IZQUIERDO RIOS,070102,41,89.130435,605.091964,Port
488817,DORA MAYER,070102,117,96.694215,763.697614,Port
556290,5050 SAN PEDRO,070102,68,88.311688,641.662045,Port
556597,5011 DARIO ARRUS CUESTAS,070102,73,92.405063,660.541235,Port
598482,5017 VIRGEN DEL CARMEM,070102,53,98.148148,648.151119,Port
824003,GENERAL PRADO,070102,90,96.774194,600.490454,Port
208058,5027 ARTURO TIMORAN DE LA H.,070104,90,95.744681,640.311314,Port
208082,5028 SANTA RITA DE CASIA,070104,10,83.333333,528.067179,Port
208546,4004 SAN MARTIN DE PORRES,070104,102,95.327103,626.288391,Port
208553,4005 ALMTE. MIGUEL GRAU SEMINARIO,070104,21,84.0,782.498651,Port
555599,JOSE OLAYA BALANDRA,070104,17,77.272727,660.466268,Port
664136,LICEO NAVAL CAPITAN DE NAVIO GERMAN ASTETE,070104,68,98.550725,679.174615,Port
208207,5013 - JOSE GALVEZ BARRENECHEA,070105,49,96.078431,638.415484,Port
208652,5051 VIRGEN DE FATIMA,070106,131,97.761194,692.406118,Port
208694,5052 VIRGEN DE LA MERCED,070106,103,91.150442,708.527535,Port
208710,5053 - VICTOR ANDRES BELAUNDE,070106,172,92.972973,692.206491,Port
215277,LICEO NAVAL CAPITAN DE CORBETA MANUEL CLAVERO,070106,100,100.0,643.977215,Port
468611,4021,070106,89,88.118812,584.414283,Port
488841,NUESTRA SEÑORA DE BELEN,070106,68,89.473684,649.157184,Port
499236,4020 JOSE SANTOS CHOCANO,070106,34,89.473684,581.848435,Port
601781,FE Y ALEGRIA 29,070106,98,100.0,757.351171,Port
659664,5077 - JOSE FAUSTINO SANCHEZ CARRION,070106,159,95.209581,715.038795,Port
662841,3089 LOS ANGELES,070106,75,98.684211,584.179458,Port
780700,5090 ANTONIA MORENO DE CACERES,070106,63,98.4375,591.706093,Port
780767,5088 HEROES DEL PACIFICO,070106,62,88.571429,627.40227,Port
780791,5087,070106,60,98.360656,658.655943,Port
780825,5086 POLITECNICO DE VENTANILLA,070106,127,98.449612,719.394808,Port
781740,5091 HIJOS DE GRAU,070106,39,88.636364,602.446006,Port
781807,5093 ANTONIO RAYMONDI,070106,133,96.376812,715.0248,Port
781831,5094 NACIONES UNIDAS,070106,106,90.598291,636.063025,Port
781898,5096,070106,50,92.592593,696.351231,Port
855791,FE Y ALEGRIA 43,070106,104,100.0,761.225159,Port
1083518,5116 DIVINO CREADOR,070106,69,98.571429,717.65907,Port
1195114,5117 JORGE PORTOCARRERO REBAZA,070106,177,89.847716,640.556088,Port
1195478,5118 - CMDTE JUAN VALER SANDOVAL,070106,96,82.051282,721.109525,Port
1238229,5120,070106,56,93.333333,721.019864,Port
1238542,5121 PEDRO PLANAS,070106,79,89.772727,711.22718,Port
1238708,5123 FRANCISCO BOLOGNESI CERVANTES,070106,64,96.969697,659.239313,Port
1262542,5125 CASUARINAS,070106,117,99.152542,631.214017,Port
1264639,5124 LIBERTADOR SIMON BOLIVAR,070106,93,92.079208,703.597852,Port
1269083,5127 MARTIR JOSE OLAYA,070106,138,89.032258,730.67632,Port
1273150,SAN JUAN MACIAS DE PACHACUTEC,070106,30,100.0,707.175079,Port
1273234,COPRODELI SAN FRANCISCO SOLANO,070106,52,98.113208,864.359621,Port
1364967,5142 VIRGEN DE GUADALUPE,070106,64,95.522388,616.131861,Port
1380567,5122 JOSE ANDRES RAZURI ESTEVEZ,070106,87,98.863636,603.026183,Port
1380682,SAN MARTIN DE PACHACUTEC,070106,35,100.0,712.439828,Port
1380690,5128 SAGRADO CORAZON DE MARIA,070106,160,96.385542,665.443387,Port
1381078,5130 PACHACUTEC,070106,159,94.642857,688.070569,Port
1381110,5129 VENCEDORES DE PACHACUTEC,070106,114,92.682927,616.823125,Port
1381151,5130-1 LOS LICENCIADOS,070106,82,87.234043,671.213358,Port
1381359,5135 LA SALLE,070106,52,98.113208,630.720255,Port
1381581,5130-3 VICTOR RAUL HAYA DE LA TORRE,070106,47,92.156863,648.379825,Port
1381862,FE Y ALEGRIA 59,070106,76,98.701299,678.606238,Port
1381979,5137,070106,56,87.5,647.53701,Port
1382928,5141 DIVINO MAESTRO,070106,63,95.454545,655.005668,Port
1383157,5140 PRESIDENTE DE LA REPUBLICA DE COLOMBIA - DR ALVARO URIBE VELEZ,070106,116,100.0,643.665765,Port
1425982,5144 DIVINO CRISTO EN LAS ALTURAS,070106,41,89.130435,650.874302,Port
1437714,5145,070106,70,89.74359,597.163581,Port
1438027,ESCUELA HOGAR COMUNITARIA REGIONAL SAGRADA FAMILIA,070106,68,95.774648,624.220097,Port
1451244,5146,070106,64,92.753623,652.077236,Port
1520279,SANTA MARIA ASUNTA AL CIELO,070106,30,100.0,737.871785,Port
1538461,FE Y ALEGRIA 76,070106,38,100.0,723.355876,Port
1619204,5147,070106,40,90.909091,588.338779,Port
1642008,5148,070106,21,87.5,707.631549,Port
217554,3010 RAMON CASTILLA,150128,28,87.5,640.230687,Old town
432906,INSTITUTO SEVILLA,150128,43,100.0,598.12486,Old town
433243,3001 ESTADOS UNIDOS MEXICANOS,150128,53,88.333333,684.475552,Old town
433276,3002-A MANUEL PARDO,150128,46,79.310345,619.441489,Old town
433300,3003 SAN CRISTOBAL,150128,64,90.140845,668.954797,Old town
433326,3004 ESPAÑA,150128,35,97.222222,551.834286,Old town
433367,3006 JOSE ERNESTO ECHENIQUE RODRIGUEZ,150128,47,87.037037,613.12072,Old town
433474,3012 EL ALTILLO,150128,52,91.22807,706.634449,Old town
433490,3013,150128,37,92.5,581.196585,Old town
433516,2083 VIRGEN DEL CARMEN,150128,150,98.039216,590.025139,Old town
